,name,address,latitude,longitude
0,1a - Puerta del Sol A,Puerta del Sol nº 1, 40.4172137,-3.7018341
1,1b - Puerta del Sol B,Puerta del Sol nº 1, 40.41731271011562,-3.701602938060457
2,2 - Miguel Moya,Calle Miguel Moya nº 1, 40.4205886,-3.7058415
3,3 - Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3, 40.4302937,-3.7069171
4,4 - Malasaña,Calle Manuela Malasaña nº 5, 40.4285524,-3.7025875
5,5 - Fuencarral,Calle Fuencarral nº 108, 40.42852,-3.70205
6,6 - Colegio Arquitectos,Calle Hortaleza nº 63, 40.424148,-3.698447
7,7 - Hortaleza,Calle Hortaleza nº 75, 40.4251906,-3.6977715
8,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5, 40.4278682,-3.6954403
9,9 - Plaza de San Miguel,Plaza de San Miguel nº 9, 40.4156057,-3.7095084
10,10 - Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16, 40.42533,-3.69214
11,11 - San Andrés,Calle San Andrés nº 18, 40.4269483,-3.7035918
12,12 - San Hermenegildo,Calle San Bernardo nº 85, 40.4284246,-3.7061931
13,13 - Conde Duque,Calle Conde Duque nº 22, 40.4273264,-3.7104417
14,14 - Ventura Rodríguez,Calle Duque de Liria, 40.4260957,-3.713479
15,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64, 40.4262383,-3.7074453
16,16 - San Bernardo,Calle San Bernardo nº 22, 40.4230721,-3.7075065
17,17 - Carlos Cambronero,Plaza de Carlos Cambronero nº 2, 40.4232649,-3.7038312
18,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1, 40.4207773,-3.6996502
19,19 - Prim,Calle Prim nº 2, 40.4218616,-3.6954983
20,20a - Banco de España A,Calle Alcalá nº 49, 40.4192342,-3.6954615
21,22 - Jacometrezo,Calle Jacometrezo nº 3, 40.4200783,-3.7065376
22,23 - Santo Domingo,Plaza de Santo Domingo nº 1, 40.4202834,-3.7081246
23,24 - Palacio de Oriente,Calle Carlos III nº 1, 40.417908,-3.710692
24,25a - Plaza de Celenque A,Plaza de Celenque nº 1, 40.4173703,-3.7057791
25,25b - Plaza de Celenque B,Plaza de Celenque nº 1, 40.4172781,-3.7063837
26,26 - Plaza de las Salesas,Plaza de las Salesas 7, 40.423855,-3.694475
27,27 - Huertas,Calle Jesús nº 1, 40.4132798,-3.6956178
28,28 - Sevilla,Calle Alcalá nº 27, 40.4181518,-3.6984368
29,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25, 40.4162619,-3.6957355
30,30 - San Quintín,Calle Pavía nº 6, 40.4192095,-3.711504
31,31 - Calle Mayor,Calle Mayor nº 20, 40.4163638,-3.7068969
32,32 - Plaza de la Provincia,Plaza de la Provincia nº 1, 40.4150099,-3.7061032
33,33 - Carretas,Calle Carretas nº 8, 40.4165039,-3.7030833
34,34 - Jacinto Benavente,Plaza de Jacinto Benavente, 40.4146755,-3.7036825
35,35 - Plaza del Cordón,Plaza del Cordón, 40.4141931,-3.7103285
36,36 - Plaza Ramales,Plaza de Ramales, 40.4168,-3.71183
37,37 - Plaza de San Francisco,Plaza de San Francisco nº 5, 40.4108,-3.714113
38,38 - Plaza de los Carros,Carrera de San Francisco nº 1, 40.4114041,-3.7114762
39,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 , 40.4112744,-3.7088337
40,40 - Conde de Romanones,Plaza del Conde de Romanones nº 9, 40.4138846,-3.7049407
41,41 - Antón Martín,Calle Atocha nº 54, 40.4122047,-3.6991147
42,42 - Santa Isabel,Calle Atocha nº 95, 40.4107085,-3.6982318
43,43 - Jesús y María,Calle Lavapiés nº 34, 40.4101564,-3.7025024
44,44 - Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35, 40.4097617,-3.7040666
45,45 - Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1, 40.4070358,-3.7110513
46,46 - Ribera de Curtidores,Calle Ribera de Curtidores nº 28, 40.4053153,-3.7071259
47,47 - Embajadores 1,Glorieta de Embajadores nº 6, 40.4047851,-3.7028265
48,48 - Embajadores 2,Glorieta de Embajadores nº 2, 40.4056107,-3.7022591
49,49 - Casa Encendida,Ronda de Atocha nº 34, 40.4060941,-3.6992759
50,50 - Museo Reina Sofía,Calle Santa Isabel nº 57, 40.4083684,-3.6933463
51,51 - Ronda de Atocha,Ronda de Atocha nº 2, 40.4075606,-3.6935205
52,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10, 40.4144226,-3.7007164
53,53 - Plaza de Lavapiés,Calle Valencia nº 1, 40.4083061,-3.7007111
54,54 - Barceló,Calle Barceló nº 7, 40.4266828,-3.700423
55,55 - Plaza de San Ildefonso,Plaza de San Ildefonso, 40.4239757,-3.7020842
56,56 - Plaza del Carmen ,Plaza del Carmen nº 1, 40.4184192,-3.7032414
57,57 - Santa Cruz del Marcenado,Calle Santa Cruz del Marcenado nº 24, 40.4295658,-3.7126299
58,58 - Augusto Figueroa,Calle Augusto Figueroa nº 33, 40.4222862,-3.697895
59,59 - Plaza de Juan Pujol,Calle Espíritu Santo nº 30, 40.4255495,-3.7043418
60,60 - Plaza de la Independencia,Plaza de la Independencia nº 6, 40.419752,-3.688398
61,61 - Narváez,Calle O'Donnell nº 28, 40.4213983,-3.6752045
62,62 - O'Donnell,Calle O'Donnell nº 50, 40.4213148,-3.6724968
63,63 - Ibiza,Calle Ibiza nº 62, 40.4179237,-3.6708959
64,65 - Antonio Maura,Calle Antonio Maura nº 15, 40.4166834,-3.6894193
65,67 - Almadén,Calle Almadén nº 28, 40.4108472,-3.693225
66,68 - Espalter,Calle Espalter nº 1, 40.4128372,-3.6912023
67,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54, 40.409808,-3.688822
68,70 - Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63, 40.4153053,-3.6779232
69,71 - Doce de Octubre,Calle Doce de Octubre nº 28, 40.4159569,-3.6738865
70,72 - Sainz de Baranda,Calle Doctor Esquerdo nº 99, 40.4157413,-3.6691838
71,73 - Plaza de los Astros,Avenida de Nazaret nº 7, 40.4114475,-3.6689089
